UniqueID	ISIN	Code	Series	Description	Asset Class	Trading Status	Created in system	Date Created	Is active	S.No	Sector	Industry
0IHFL26INE148I07SF0YR	INE148I07SF0	0IHFL26	YR	#N/A	Fixed Income		Y			1	#N/A	#N/A
0IHFL27INE148I07SK0YW	INE148I07SK0	0IHFL27	YW	#N/A	Fixed Income		Y			2	#N/A	#N/A
0MOFSL26INE338I07156N1	INE338I07156	0MOFSL26	N1	#N/A	Fixed Income		Y			3	#N/A	#N/A
0MOFSL27INE338I07099N3	INE338I07099	0MOFSL27	N3	#N/A	Fixed Income		Y			4	#N/A	#N/A
0SCL26INE148I07SF0YR	INE148I07SF0	0SCL26	YR	#N/A	Fixed Income		Y			5	#N/A	#N/A
0SCL27INE148I07SK0YW	INE148I07SK0	0SCL27	YW	Sec Re Ncd Sr Vi	Fixed Income	Active	N	18-09-2024	Yes	6		
1003GS2019IN0020010065GS	IN0020010065	1003GS2019	GS	#N/A	Fixed Income		Y			7	#N/A	#N/A
1003ICCL28INE244L07556NX	INE244L07556	1003ICCL28	NX	#N/A	Fixed Income		Y			8	#N/A	#N/A
1003IHF30AINE148I07QX7NV	INE148I07QX7	1003IHF30A	NV	#N/A	Fixed Income		Y			9	#N/A	#N/A
1003IIFL29INE413U07301NC	INE413U07301	1003IIFL29	NC	#N/A	Fixed Income		Y			10	#N/A	#N/A
1003ISFL28INE413U07269N4	INE413U07269	1003ISFL28	N4	#N/A	Fixed Income		Y			11	#N/A	#N/A
1003SCL30AINE148I07QX7NV	INE148I07QX7	1003SCL30A	NV	Sec Re Ncd 10.03% Sr X	Fixed Income	Active	N	18-09-2024	Yes	12		
1004DLSL24INE614X07274NO	INE614X07274	1004DLSL24	NO	#N/A	Fixed Income		Y			13	#N/A	#N/A
1013DLSL24INE614X07183NF	INE614X07183	1013DLSL24	NF	#N/A	Fixed Income		Y			14	#N/A	#N/A
1015ECL29INE804IA7014NR	INE804IA7014	1015ECL29	NR	#N/A	Fixed Income		Y			15	#N/A	#N/A
1015IHF28AINE148I07OH5AL	INE148I07OH5	1015IHF28A	AL		Fixed Income	Delisted	Y			16	#N/A	#N/A
1015IHF28BINE148I07OW4AZ	INE148I07OW4	1015IHF28B	AZ	#N/A	Fixed Income		Y			17	#N/A	#N/A
1015IHFL29INE148I07SS3YY	INE148I07SS3	1015IHFL29	YY	#N/A	Fixed Income		Y			18	#N/A	#N/A
1015SCFL29INE148I07SS3YY	INE148I07SS3	1015SCFL29	YY	#N/A	Fixed Income		Y			19	#N/A	#N/A
1015SCL28INE148I07QR9NR	INE148I07QR9	1015SCL28	NR	Sec Re Ncd 10.15% Sr Vii	Fixed Income	Active	N	19-09-2024	Yes	20		
1015SCL28AINE148I07OH5AL	INE148I07OH5	1015SCL28A	AL		Fixed Income	Delisted	Y			21	#N/A	#N/A
1015SCL28BINE148I07OW4AZ	INE148I07OW4	1015SCL28B	AZ	#N/A	Fixed Income		Y			22	#N/A	#N/A
1015UCL24INE583D07257N3	INE583D07257	1015UCL24	N3	#N/A	Fixed Income		Y			23	#N/A	#N/A
1018GS2026IN0020010081GS	IN0020010081	1018GS2026	GS	#N/A	Fixed Income		Y			24	#N/A	#N/A
1025GS2021IN0020010040GS	IN0020010040	1025GS2021	GS	#N/A	Fixed Income		Y			25	#N/A	#N/A
1025ICCL26INE244L07507NT	INE244L07507	1025ICCL26	NT	#N/A	Fixed Income		Y			26	#N/A	#N/A
1025IHF34INE148I07SQ7Z8	INE148I07SQ7	1025IHF34	Z8	#N/A	Fixed Income		Y			27	#N/A	#N/A
1025IHF34AINE148I07TN2ZT	INE148I07TN2	1025IHF34A	ZT	#N/A	Fixed Income		Y			28	#N/A	#N/A
1025NFL25INE342T07379N5	INE342T07379	1025NFL25	N5	#N/A	Fixed Income		Y			29	#N/A	#N/A
1025SCL34INE148I07SQ7Z8	INE148I07SQ7	1025SCL34	Z8	#N/A	Fixed Income		Y			30	#N/A	#N/A
1025SCL34AINE148I07TN2ZT	INE148I07TN2	1025SCL34A	ZT	#N/A	Fixed Income		Y			31	#N/A	#N/A
1025UCL25INE583D07414N8	INE583D07414	1025UCL25	N8	#N/A	Fixed Income		Y			32	#N/A	#N/A
1030ICC26INE244L07309NJ	INE244L07309	1030ICC26	NJ	#N/A	Fixed Income		Y			33	#N/A	#N/A
1030ICCL28INE244L07283NM	INE244L07283	1030ICCL28	NM	#N/A	Fixed Income		Y			34	#N/A	#N/A
1035UCL24INE583D07307N6	INE583D07307	1035UCL24	N6	#N/A	Fixed Income		Y			35	#N/A	#N/A
1035UCL26INE583D07448NA	INE583D07448	1035UCL26	NA	#N/A	Fixed Income		Y			36	#N/A	#N/A
1040NFL26INE342T07437NA	INE342T07437	1040NFL26	NA	#N/A	Fixed Income		Y			37	#N/A	#N/A
1040UCL25INE583D07265N4	INE583D07265	1040UCL25	N4	#N/A	Fixed Income		Y			38	#N/A	#N/A
1049DLS25AINE614X07456Y5	INE614X07456	1049DLS25A	Y5	#N/A	Fixed Income		Y			39	#N/A	#N/A
1049DLSL25INE614X07381NX	INE614X07381	1049DLSL25	NX	#N/A	Fixed Income		Y			40	#N/A	#N/A
1050IHFL31INE148I07SM6Z2	INE148I07SM6	1050IHFL31	Z2	#N/A	Fixed Income		Y			41	#N/A	#N/A
1050IIFL29INE413U07319ND	INE413U07319	1050IIFL29	ND	#N/A	Fixed Income		Y			42	#N/A	#N/A
1050ISFL28INE413U07251N5	INE413U07251	1050ISFL28	N5	#N/A	Fixed Income		Y			43	#N/A	#N/A
1050NFL26INE342T07387N7	INE342T07387	1050NFL26	N7	#N/A	Fixed Income		Y			44	#N/A	#N/A
1050UCL25INE583D07315N7	INE583D07315	1050UCL25	N7	#N/A	Fixed Income		Y			45	#N/A	#N/A
1052DLSL24INE614X07282NP	INE614X07282	1052DLSL24	NP	#N/A	Fixed Income		Y			46	#N/A	#N/A
105IIFL29INE866I08295N7	INE866I08295	105IIFL29	N7	#N/A	Fixed Income		Y			47	#N/A	#N/A
105UCL2026INE583D07463NB	INE583D07463	105UCL2026	NB	#N/A	Fixed Income		Y			48	#N/A	#N/A
1060ECL29INE804IA7022NS	INE804IA7022	1060ECL29	NS	#N/A	Fixed Income		Y			49	#N/A	#N/A
