S.No	Index Name	Code	System Value	S.No	SS Notes
1	India VIX	INDVIX	India VIX	1	Active
2	NIFTY 100	N100	NIFTY 100	2	Active
3	NIFTY100 Alpha 30	N100A30	NIFTY100 Alpha 30	3	Active
4	NIFTY100 Enhanced ESG	N100EESG	NIFTY100 Enhanced ESG	4	Active
5	NIFTY100 ESG	N100ESG	NIFTY100 ESG	5	Active
6	NIFTY100 ESG Sector Leaders	N100ESGL	NIFTY100 ESG Sector Leaders	6	Active
7	NIFTY100 Equal Weight	N100EW	NIFTY100 Equal Weight	7	Active
8	NIFTY100 Liquid 15	N100L15	NIFTY100 Liquid 15	8	Active
9	NIFTY100 Low Volatility 30	N100LV30	NIFTY100 Low Volatility 30	9	Active
10	NIFTY100 Quality 30	N100Q30	NIFTY100 Quality 30	10	Active
11	NIFTY 10 YR Benchmark G-Sec	N10YBGS	NIFTY 10 YR Benchmark G-Sec	11	Active
12	NIFTY 10 YR Benchmark G-Sec (Clean Price)	N10YBGSCP	NIFTY 10 YR Benchmark G-Sec (Clean Price)	12	Active
13	NIFTY 10 YEAR SDL INDEX	N10YSI	NIFTY 10 YR SDL Index	13	Active
13	NIFTY 10 YR SDL Index	N10YSI	NIFTY 10 YR SDL Index	13	Active
14	NIFTY 11-15 YR G-Sec Index	N1115YGS	NIFTY 11-15 YR G-Sec Index	14	Active
15	NIFTY 15 YR and above G-Sec Index	N15YAG	NIFTY 15 YR and above G-Sec Index	15	Active
16	NIFTY 1D Rate Index	N1DRATE	NIFTY 1D Rate Index	16	Active
17	NIFTY 200	N200	NIFTY 200	17	Active
18	NIFTY200 Alpha 30	N200A30	NIFTY200 Alpha 30	18	Active
19	NIFTY200 Momentum 30	N200M30	NIFTY200 Momentum 30	19	Active
20	NIFTY200 Quality 30	N200Q30	NIFTY200 Quality 30	20	Active
21	NIFTY200 Value 30	N200V30	NIFTY200 Value 30	21	Active
22	NIFTY 3 YEAR SDL	N3YSDL	NIFTY 3 YR SDL	22	Active
22	NIFTY 3 YR SDL	N3YSDL	NIFTY 3 YR SDL	22	Active
23	NIFTY 4-8 YR G-Sec Index	N48YGS	NIFTY 4-8 YR G-Sec Index	23	Active
24	NIFTY 50	N50	NIFTY 50	24	Active
25	NIFTY 500	N500	NIFTY 500	25	Active
26	NIFTY500 Equal Weight	N500EQW	NIFTY500 Equal Weight	26	Active
27	NIFTY500 LargeMidSmall Equal-Cap Weighted	N500LMSEQ	NIFTY500 LargeMidSmall Equal-Cap Weighted	27	Active
28	NIFTY500 Momentum 50	N500M50	NIFTY500 Momentum 50	28	Active
29	NIFTY500 Multicap 50:25:25	N500MC502525	NIFTY500 Multicap 50:25:25	29	Active
30	NIFTY500 Multicap Infrastructure 50:30:20	N500MCINFRA503020	NIFTY500 Multicap Infrastructure 50:30:20	30	Active
31	NIFTY500 Multicap India Manufacturing 50:30:20	N500MCMANU503020	NIFTY500 Multicap India Manufacturing 50:30:20	31	Active
32	Nifty500 Multicap Momentum Quality 50	N500MMQ050	Nifty500 Multicap Momentum Quality 50	32	Active
33	NIFTY500 Shariah	N500SHARIAH	NIFTY500 Shariah	33	Active
34	NIFTY500 Value 50	N500V50	NIFTY500 Value 50	34	Active
35	NIFTY 50 Arbitrage	N50ARB	NIFTY 50 Arbitrage	35	Active
36	NIFTY50 Dividend Points	N50DP	NIFTY50 Dividend Points	36	Active
37	NIFTY50 Equal Weight	N50EW	NIFTY50 Equal Weight	37	Active
38	Nifty 50 Futures Index	N50FPR	NIFTY 50 Futures PR	38	Active
38	NIFTY 50 Futures PR	N50FPR	NIFTY 50 Futures PR	38	Active
39	NIFTY 50 Futures TR	N50FTR	NIFTY 50 Futures TR	39	Active
39	Nifty 50 Futures TR Index	N50FTR	NIFTY 50 Futures TR	39	Active
40	NIFTY50 PR 1x Inverse	N50PR1XI	NIFTY50 PR 1x Inverse	40	Active
41	NIFTY50 PR 2x Leverage	N50PR2XL	NIFTY50 PR 2x Leverage	41	Active
