Unique ID	Check	SEBI Categorisation	Asset Class	Riskometer	S.No	Code	ISIN	Description	Date Created in System	Scheme Name Analysis	Fund Category	Risk Category
1.00027E+11	Y				1	100027	100027	Grindlays Super Saver Income Fund-GSSIF-Half Yearly Dividend		Grindlays Super Saver Income Fund		
1.00028E+11	Y				2	100028	100028	Grindlays Super Saver Income Fund-GSSIF-Quaterly Dividend		Grindlays Super Saver Income Fund		
1.00029E+11	Y				3	100029	100029	Grindlays Super Saver Income Fund-GSSIF-Growth		Grindlays Super Saver Income Fund		
1.0003E+11	Y				4	100030	100030	Grindlays Super Saver Income Fund-GSSIF-Annual Dividend		Grindlays Super Saver Income Fund		
1.00031E+11	Y				5	100031	100031	Grindlays Super Saver Income Fund-GSSIF - ST-Dividend		Grindlays Super Saver Income Fund		
1.00032E+11	Y				6	100032	100032	Grindlays Super Saver Income Fund-GSSIF - ST-Growth		Grindlays Super Saver Income Fund		
100033INF209K01165	Y				7	100033	INF209K01165	Aditya Birla Sun Life Equity Advantage Fund - Regular Growth		Aditya Birla Sun Life Large & Mid Cap Fund		
100034INF209K01157	Y				8	100034	INF209K01157	Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW		Aditya Birla Sun Life Large & Mid Cap Fund		
100034INF209K01CE5	Y				9	100034	INF209K01CE5	Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW - Div Reinvestment		Aditya Birla Sun Life Large & Mid Cap Fund		
1.00035E+11	Y				10	100035	100035	Birla Sun Life Freedom Fund-Plan A (Dividend)		Birla Sun Life Freedom Fund		
1.00036E+11	Y				11	100036	100036	Birla Sun Life Freedom Fund-Plan B (Growth)		Birla Sun Life Freedom Fund		
100037INF209K01587	Y				12	100037	INF209K01587	Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW		Aditya Birla Sun Life Income Fund		
100037INF209K01CY3	Y				13	100037	INF209K01CY3	Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW - Div Reinvestment		Aditya Birla Sun Life Income Fund		
100038INF209K01579	Y				14	100038	INF209K01579	Aditya Birla Sun Life Income Fund - Growth - Regular Plan		Aditya Birla Sun Life Income Fund		
100041INF209K01KN9	Y				15	100041	INF209K01KN9	Aditya Birla Sun Life Liquid Fund -Institutional - IDCW		Aditya Birla Sun Life Liquid Fund		
100042INF209K01ME4	Y				16	100042	INF209K01ME4	Aditya Birla Sun Life Liquid Fund-Retail (Growth)		Aditya Birla Sun Life Liquid Fund		
100043INF209K01RT1	Y				17	100043	INF209K01RT1	Aditya Birla Sun Life Liquid Fund-Institutional (Growth)		Aditya Birla Sun Life Liquid Fund		
100044INF209K01KP4	Y				18	100044	INF209K01KP4	Aditya Birla Sun Life Liquid Fund -Retail - IDCW		Aditya Birla Sun Life Liquid Fund		
100046INF209K01KQ2	Y				19	100046	INF209K01KQ2	Aditya Birla Sun Life Liquid Fund -Daily IDCW		Aditya Birla Sun Life Liquid Fund		
100046INF209K01SQ5	Y				20	100046	INF209K01SQ5	Aditya Birla Sun Life Liquid Fund -Daily IDCW - Div Reinvestment		Aditya Birla Sun Life Liquid Fund		
100047INF209K01RU9	Y				21	100047	INF209K01RU9	Aditya Birla Sun Life Liquid Fund - Growth		Aditya Birla Sun Life Liquid Fund		
100048INF209KA1LK7	Y				22	100048	INF209KA1LK7	Aditya Birla Sun Life Liquid Fund -Institutional - Weekly  IDCW		Aditya Birla Sun Life Liquid Fund		
100048INF209K01KY6	Y				23	100048	INF209K01KY6	Aditya Birla Sun Life Liquid Fund -Institutional - Weekly  IDCW - Div Reinvestment		Aditya Birla Sun Life Liquid Fund		
1.00049E+11	Y				24	100049	100049	Aditya Birla Sun Life Cash Plus-Institutional - Fortnightly Dividend		0		
100051INF209K01KU4	Y				25	100051	INF209K01KU4	Aditya Birla Sun Life Liquid Fund -Weekly IDCW		Aditya Birla Sun Life Liquid Fund		
100051INF209KA1LJ9	Y				26	100051	INF209KA1LJ9	Aditya Birla Sun Life Liquid Fund -Weekly IDCW - Div Reinvestment		Aditya Birla Sun Life Liquid Fund		
1.00052E+11	Y				27	100052	100052	Aditya Birla Sun Life Cash Plus-Institutional Premium - Fortnightly Dividend		0		
1.00053E+11	Y				28	100053	100053	Aditya Birla Sun Life Cash Plus-Institutional Premium Plan-Monthly Dividend		0		
100054INF209K01AB5	Y				29	100054	INF209K01AB5	Aditya Birla Sun Life Gilt Plus - Liquid Plan - Quarterly Dividend - Regular Plan		0		
100055INF209K01AA7	Y				30	100055	INF209K01AA7	Aditya Birla Sun Life Gilt Plus - Liquid Plan - Growth - Regular Plan		0		
100056INF209K01991	Y				31	100056	INF209K01991	Aditya Birla Sun Life Gilt Plus - Liquid Plan - Annual Dividend - Regular Plan		0		
100056INF209K01DM6	Y				32	100056	INF209K01DM6	Aditya Birla Sun Life Gilt Plus - Liquid Plan - Annual Dividend - Regular Plan - Div Reinvestment		0		
100057INF209K01AF6	Y				33	100057	INF209K01AF6	Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW		Aditya Birla Sun Life Government Securities Fund		
100057INF209K01DP9	Y				34	100057	INF209K01DP9	Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW - Div Reinvestment		Aditya Birla Sun Life Government Securities Fund		
100058INF209K01AC3	Y				35	100058	INF209K01AC3	Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan		Aditya Birla Sun Life Government Securities Fund		
100058INF209K01AD1	Y				36	100058	INF209K01AD1	Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan - Div Reinvestment		Aditya Birla Sun Life Government Securities Fund		
100059INF209K01DO2	Y				37	100059	INF209K01DO2	Aditya Birla Sun Life Gilt Plus-PF Plan (Annual Dividend)		0		
100060INF209K01AI0	Y				38	100060	INF209K01AI0	Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Quarterly Dividend - Regular Plan		0		
100060INF209K01DR5	Y				39	100060	INF209K01DR5	Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Quarterly Dividend - Regular Plan - Div Reinvestment		0		
100061INF209K01AH2	Y				40	100061	INF209K01AH2	Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Regular Plan		0		
100062INF209K01DQ7	Y				41	100062	INF209K01DQ7	Aditya Birla Sun Life Gilt Plus-Regular Plan (Annual Dividend)		0		
100063INF209K01314	Y				42	100063	INF209K01314	Aditya Birla Sun Life MNC Fund - Regular - IDCW		Aditya Birla Sun Life MNC Fund		
100063INF209K01CL0	Y				43	100063	INF209K01CL0	Aditya Birla Sun Life MNC Fund - Regular - IDCW - Div Reinvestment		Aditya Birla Sun Life MNC Fund		
100064INF209K01322	Y				44	100064	INF209K01322	Aditya Birla Sun Life MNC Fund - Growth - Regular Plan		Aditya Birla Sun Life MNC Fund		
100065INF209K01280	Y				45	100065	INF209K01280	Aditya Birla Sun Life India Opportunities Fund - Dividend - Regular Plan		0		
100065INF209K01CK2	Y				46	100065	INF209K01CK2	Aditya Birla Sun Life India Opportunities Fund - Dividend - Regular Plan - Div Reinvestment		0		
100066INF209K01298	Y				47	100066	INF209K01298	Aditya Birla Sun Life India Opportunities Fund - Growth - Regular Plan		0		
100067INF209K01330	Y				48	100067	INF209K01330	Aditya Birla Sun Life Tax Plan -Regular - IDCW		0		
100067INF209K01CM8	Y				49	100067	INF209K01CM8	Aditya Birla Sun Life Tax Plan -Regular - IDCW - Div Reinvestment		0		
100068INF955L01641	Y				50	100068	INF955L01641	Baroda ELSS 96 - Plan A - IDCW		0		
1.00069E+11	Y				51	100069	100069	Baroda Pioneer  Diversified  Fund		0		
100077INF740K01565	Y				52	100077	INF740K01565	DSP Bond Fund - IDCW		DSP Bond Fund		
100077INF740K01995	Y				53	100077	INF740K01995	DSP Bond Fund - IDCW - Div Reinvestment		DSP Bond Fund		
100078INF740K01557	Y				54	100078	INF740K01557	DSP Bond Fund - Growth		DSP Bond Fund		
100079INF740K01573	Y				55	100079	INF740K01573	DSP Bond Fund - IDCW - Monthly		DSP Bond Fund		
100079INF740K01AA1	Y				56	100079	INF740K01AA1	DSP Bond Fund - IDCW - Monthly - Div Reinvestment		DSP Bond Fund		
100080INF740K01011	Y				57	100080	INF740K01011	DSP Flexi Cap Fund - Regular Plan - IDCW		DSP Flexi Cap Fund		
100080INF740K01029	Y				58	100080	INF740K01029	DSP Flexi Cap Fund - Regular Plan - IDCW - Div Reinvestment		DSP Flexi Cap Fund		
100081INF740K01318	Y				59	100081	INF740K01318	DSP Equity & Bond Fund- Regular Plan - Growth		DSP Aggressive Hybrid Fund		
100082INF740K01326	Y				60	100082	INF740K01326	DSP Equity & Bond Fund- Regular Plan - IDCW		DSP Aggressive Hybrid Fund		
100082INF740K01334	Y				61	100082	INF740K01334	DSP Equity & Bond Fund- Regular Plan - IDCW - Div Reinvestment		DSP Aggressive Hybrid Fund		
100084INF740K01615	Y				62	100084	INF740K01615	DSP Gilt Fund - Regular Plan - Growth		DSP Gilt Fund		
100085INF740K01607	Y				63	100085	INF740K01607	DSP Gilt Fund - Regular Plan - IDCW		DSP Gilt Fund		
100085INF740K01AD5	Y				64	100085	INF740K01AD5	DSP Gilt Fund - Regular Plan - IDCW - Div Reinvestment		DSP Gilt Fund		
100086INF740K01623	Y				65	100086	INF740K01623	DSP Gilt Fund - Regular Plan - IDCW - Monthly		DSP Gilt Fund		
100086INF740K01AE3	Y				66	100086	INF740K01AE3	DSP Gilt Fund - Regular Plan - IDCW - Monthly - Div Reinvestment		DSP Gilt Fund		
100087INF740K01714	Y				67	100087	INF740K01714	DSP Savings Fund - Regular Plan - Growth		DSP Savings Fund		
100088INF740K01706	Y				68	100088	INF740K01706	DSP Savings Fund - Regular Plan - IDCW		DSP Savings Fund		
100088INF740K01AJ2	Y				69	100088	INF740K01AJ2	DSP Savings Fund - Regular Plan - IDCW - Div Reinvestment		DSP Savings Fund		
100089INF740K01722	Y				70	100089	INF740K01722	DSP Savings Fund - Regular Plan - IDCW - Monthly		DSP Savings Fund		
100089INF740K01AK0	Y				71	100089	INF740K01AK0	DSP Savings Fund - Regular Plan - IDCW - Monthly - Div Reinvestment		DSP Savings Fund		
100090INF740K01219	Y				72	100090	INF740K01219	DSP BlackRock Technology.com   Fund - Regular Plan - Growth		0		
100119INF179K01830	Y				73	100119	INF179K01830	HDFC Balanced Advantage Fund - Growth Plan		HDFC Balanced Advantage Fund		
100120INF179K01814	Y				74	100120	INF179K01814	HDFC Balanced Advantage Fund - IDCW Plan		HDFC Balanced Advantage Fund		
100120INF179K01822	Y				75	100120	INF179K01822	HDFC Balanced Advantage Fund - IDCW Plan - Div Reinvestment		HDFC Balanced Advantage Fund		
100121INF179K01376	Y				76	100121	INF179K01376	HDFC Balanced Fund - Dividend Option		0		
100121INF179K01384	Y				77	100121	INF179K01384	HDFC Balanced Fund - Dividend Option - Div Reinvestment		0		
100122INF179K01392	Y				78	100122	INF179K01392	HDFC Balanced Fund - Growth Option		0		
100123INF179K01947	Y				79	100123	INF179K01947	HDFC Income Fund - Quarterly IDCW Option		HDFC Income Fund		
100123INF179K01954	Y				80	100123	INF179K01954	HDFC Income Fund - Quarterly IDCW Option - Div Reinvestment		HDFC Income Fund		
100124INF179K01962	Y				81	100124	INF179K01962	HDFC Income Fund - Growth Option		HDFC Income Fund		
1.00136E+11	Y				82	100136	100136	Principal Deposit Fund-Plan 54EA/EB-Plan 54EA /EB		0		
1.0015E+11	Y				83	100150	100150	Principal Child Benefit Fund-Super Saver-Future Guard Plan		0		
100151INF173K01CP9	Y				84	100151	INF173K01CP9	Principal Retail Equity Savings Fund - Growth Option		0		
100152INF173K01AH0	Y				85	100152	INF173K01AH0	Principal Nifty 100 Equal Weight Fund-Income Distribution Cum Capital Withdrawal		0		
100152INF173K01AI8	Y				86	100152	INF173K01AI8	Principal Nifty 100 Equal Weight Fund-Income Distribution Cum Capital Withdrawal - Div Reinvestment		0		
100153INF173K01AG2	Y				87	100153	INF173K01AG2	Principal Nifty 100 Equal Weight Fund-Growth		0		
1.00154E+11	Y				88	100154	100154	Principal Equity Fund-Dividend		0		
1.00155E+11	Y				89	100155	100155	Principal Equity Fund-Growth		0		
100156INF173K01361	Y				90	100156	INF173K01361	Principal Tax Savings Fund		0		
100171INF966L01077	Y				91	100171	INF966L01077	quant Dynamic Bond-Dividend		0		
100171INF966L01085	Y				92	100171	INF966L01085	quant Dynamic Bond-Dividend - Div Reinvestment		0		
100172INF966L01093	Y				93	100172	INF966L01093	quant Dynamic Bond-Growth		0		
100173INF966L01101	Y				94	100173	INF966L01101	quant Dynamic Bond-Bonus		0		
100174INF966L01119	Y				95	100174	INF966L01119	quant ELSS Tax Saver Fund - IDCW Option - Regular Plan		Quant ELSS Tax Saver Fund		
100175INF966L01135	Y				96	100175	INF966L01135	quant ELSS Tax Saver Fund - Growth Option - Regular Plan		Quant ELSS Tax Saver Fund		
100176INF206A01022	Y				97	100176	INF206A01022	quant Small Cap Fund - IDCW Option - Regular Plan		Quant Small Cap Fund		
100176INF966L01044	Y				98	100176	INF966L01044	quant Small Cap Fund - IDCW Option - Regular Plan - Div Reinvestment		Quant Small Cap Fund		
100177INF966L01AA0	Y				99	100177	INF966L01AA0	quant Small Cap Fund - Growth - Regular Plan		Quant Small Cap Fund		
100178INF084M01721	Y				100	100178	INF084M01721	ING Income Fund-Regular Plan -Dividend Option (Quarterly)		0		
100178INF084M01739	Y				101	100178	INF084M01739	ING Income Fund-Regular Plan -Dividend Option (Quarterly) - Div Reinvestment		0		
100179INF084M01747	Y				102	100179	INF084M01747	ING Income Fund-Regular Plan -Dividend Option (Half Yearly)		0		
100179INF084M01754	Y				103	100179	INF084M01754	ING Income Fund-Regular Plan -Dividend Option (Half Yearly) - Div Reinvestment		0		
100180INF084M01762	Y				104	100180	INF084M01762	ING Income Fund- Regular Plan - Dividend Option (Annual)		0		
100180INF084M01770	Y				105	100180	INF084M01770	ING Income Fund- Regular Plan - Dividend Option (Annual) - Div Reinvestment		0		
100181INF084M01713	Y				106	100181	INF084M01713	ING Income Fund-Regular Plan -Growth Option		0		
100182INF084M01812	Y				107	100182	INF084M01812	ING Income Fund-Institutional Plan - Dividend Option (Half Yearly)		0		
100182INF084M01820	Y				108	100182	INF084M01820	ING Income Fund-Institutional Plan - Dividend Option (Half Yearly) - Div Reinvestment		0		
100183INF084M01796	Y				109	100183	INF084M01796	ING Income Fund-Institutional Plan - Dividend Option (Quarterly)		0		
100183INF084M01804	Y				110	100183	INF084M01804	ING Income Fund-Institutional Plan - Dividend Option (Quarterly) - Div Reinvestment		0		
100184INF084M01838	Y				111	100184	INF084M01838	ING Income Fund-Institutional Plan -Dividend Option (Annual)		0		
100184INF084M01846	Y				112	100184	INF084M01846	ING Income Fund-Institutional Plan -Dividend Option (Annual) - Div Reinvestment		0		
1.00185E+11	Y				113	100185	100185	ING Income Fund-Bonus Option		0		
1.00186E+11	Y				114	100186	100186	ING Income Fund-Institutional Bonus Option		0		
100187INF084M01788	Y				115	100187	INF084M01788	ING Income Fund-Institutional Plan - Growth Option		0		
100188INF084M01192	Y				116	100188	INF084M01192	ING Core Equity Fund-Dividend Option		0		
100188INF084M01200	Y				117	100188	INF084M01200	ING Core Equity Fund-Dividend Option - Div Reinvestment		0		
100189INF084M01184	Y				118	100189	INF084M01184	ING Core Equity Fund-Growth Option		0		
100190INF084M01424	Y				119	100190	INF084M01424	ING Liquid Fund-Regular Growth Option		0		
100191INF084M01457	Y				120	100191	INF084M01457	ING Liquid Fund-Regular Weekly Dividend Option		0		
100191INF084M01440	Y				121	100191	INF084M01440	ING Liquid Fund-Regular Weekly Dividend Option - Div Reinvestment		0		
100192INF084M01432	Y				122	100192	INF084M01432	ING Liquid Fund-Regular Daily Dividend Option		0		
1.00194E+11	Y				123	100194	100194	ING Liquid Fund-Auto Sweep Growth Option		0		
1.00195E+11	Y				124	100195	100195	ING Liquid Fund-Auto Sweep Weekly Dividend Option		0		
100196INF084M01465	Y				125	100196	INF084M01465	ING Liquid Fund-Institutional Growth Option		0		
100197INF084M01499	Y				126	100197	INF084M01499	ING Liquid Fund-Institutional Weekly Dividend Option		0		
100197INF084M01481	Y				127	100197	INF084M01481	ING Liquid Fund-Institutional Weekly Dividend Option - Div Reinvestment		0		
100198INF084M01473	Y				128	100198	INF084M01473	ING Liquid Fund-Institutional Daily Dividend Option		0		
100199INF084M01507	Y				129	100199	INF084M01507	ING Liquid Fund-Super Institutional Growth Option		0		
100200INF084M01515	Y				130	100200	INF084M01515	ING Liquid Fund-Super Institutional Daily Dividend Option		0		
100201INF084M01531	Y				131	100201	INF084M01531	ING Liquid Fund-Super Institutional Weekly Dividend Option		0		
100201INF084M01523	Y				132	100201	INF084M01523	ING Liquid Fund-Super Institutional Weekly Dividend Option - Div Reinvestment		0		
100202INF084M01AC6	Y				133	100202	INF084M01AC6	ING Balanced Fund-Dividend Option		0		
100202INF084M01AD4	Y				134	100202	INF084M01AD4	ING Balanced Fund-Dividend Option - Div Reinvestment		0		
100203INF084M01AB8	Y				135	100203	INF084M01AB8	ING Balanced Fund-Growth Option		0		
100218INF192K01585	Y				136	100218	INF192K01585	JM Large Cap Fund (Regular) - IDCW		JM Large Cap Fund		
100218INF192K01593	Y				137	100218	INF192K01593	JM Large Cap Fund (Regular) - IDCW  - Div Reinvestment		JM Large Cap Fund		
100219INF192K01601	Y				138	100219	INF192K01601	JM Large Cap Fund (Regular) - Growth Option		JM Large Cap Fund		
100220INF192K01528	Y				139	100220	INF192K01528	JM Aggressive Hybrid Fund (Regular) - IDCW		JM Aggressive Hybrid Fund		
100220INF192K01536	Y				140	100220	INF192K01536	JM Aggressive Hybrid Fund (Regular) - IDCW - Div Reinvestment		JM Aggressive Hybrid Fund		
100221INF192K01544	Y				141	100221	INF192K01544	JM Aggressive Hybrid Fund (Regular) -Growth Option		JM Aggressive Hybrid Fund		
100222INF192K01999	Y				142	100222	INF192K01999	JM Medium to Long Duration Fund (Regular) - Quarterly IDCW		JM Medium to Long Duration Fund		
100222INF192K01AA5	Y				143	100222	INF192K01AA5	JM Medium to Long Duration Fund (Regular) - Quarterly IDCW - Div Reinvestment		JM Medium to Long Duration Fund		
100223INF192K01AB3	Y				144	100223	INF192K01AB3	JM Medium to Long Duration Fund (Regular) - Growth Option		JM Medium to Long Duration Fund		
100233INF192K01841	Y				145	100233	INF192K01841	JM Liquid Fund (Regular) - Weekly IDCW		JM Liquid Fund		
100233INF192K01858	Y				146	100233	INF192K01858	JM Liquid Fund (Regular) - Weekly IDCW - Div Reinvestment		JM Liquid Fund		
100234INF192K01882	Y				147	100234	INF192K01882	JM Liquid Fund - Growth Option		JM Liquid Fund		
100237INF192K01940	Y				148	100237	INF192K01940	JM High Liquidity Fund-- Institutional Plan - Growth		0		
100238INF192K01916	Y				149	100238	INF192K01916	JM High Liquidity Fund-Institutional Plan - Daily Dividend		0		
100241INF192K01924	Y				150	100241	INF192K01924	JM High Liquidity Fund-- Institutional Plan - Dividend		0		
100241INF192K01932	Y				151	100241	INF192K01932	JM High Liquidity Fund-- Institutional Plan - Dividend - Div Reinvestment		0		
1.00243E+11	Y				152	100243	100243	JM High Liquidity Fund-- Premium Plan - Daily Dividend Option		0		
100244INF192K01866	Y				153	100244	INF192K01866	JM Liquid Fund (Regular) - Quarterly IDCW		JM Liquid Fund		
100244INF192K01874	Y				154	100244	INF192K01874	JM Liquid Fund (Regular) - Quarterly IDCW - Div Reinvestment		JM Liquid Fund		
100245INF192K01957	Y				155	100245	INF192K01957	JM High Liquidity Fund-Super Institutional Plan- Daily Dividend		0		
100246INF192K01965	Y				156	100246	INF192K01965	JM High Liquidity Fund-Super Institutional Plan- Weekly  Dividend		0		
100246INF192K01973	Y				157	100246	INF192K01973	JM High Liquidity Fund-Super Institutional Plan- Weekly  Dividend - Div Reinvestment		0		
100247INF192K01981	Y				158	100247	INF192K01981	JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option		JM Liquid Fund		
100249INF192K01783	Y				159	100249	INF192K01783	JM G-Sec Fund - Quarterly Dividend Option		JM G-Sec Fund		
100249INF192K01791	Y				160	100249	INF192K01791	JM G-Sec Fund - Quarterly Dividend Option - Div Reinvestment		JM G-Sec Fund		
100250INF192K01809	Y				161	100250	INF192K01809	JM G-Sec Fund - Growth Option		JM G-Sec Fund		
1.00251E+11	Y				162	100251	100251	JM G-Sec Fund-PF Plan - Growth Plan		0		
1.00252E+11	Y				163	100252	100252	JM G-Sec Fund-PF Plan -Dividend Plan		0		
100253INF192K01817	Y				164	100253	INF192K01817	JM G-Sec Fund - Bonus Option - Principal Units		JM G-Sec Fund		
100254INF137A01037	Y				165	100254	INF137A01037	JM Value Fund (Regular) - Growth Option		JM Value Fund		
1.00261E+11	Y				166	100261	100261	Kotak Gilt-Savings-Monthly Dividend		0		
1.00262E+11	Y				167	100262	100262	Kotak Gilt-Savings-Growth		0		
1.00263E+11	Y				168	100263	100263	Kotak Gilt-Savings-Annual Dividend		0		
100264INF174K01FK1	Y				169	100264	INF174K01FK1	Kotak Gilt-Investment Regular-Payout of Income Distribution Cum capital withdrawal option		Kotak Gilt Fund		
100264INF174K01FJ3	Y				170	100264	INF174K01FJ3	Kotak Gilt-Investment Regular-Payout of Income Distribution Cum capital withdrawal option - Div Reinvestment		Kotak Gilt Fund		
100265INF174K01FI5	Y				171	100265	INF174K01FI5	Kotak Gilt-Investment Regular-Growth		Kotak Gilt Fund		
1.00278E+11	Y				172	100278	100278	Kotak Gilt-Serial 2019-Dividend		0		
1.00279E+11	Y				173	100279	100279	Kotak Gilt-Serial 2019-Growth		0		
100280INF174K01FM7	Y				174	100280	INF174K01FM7	Kotak Gilt-Investment  Provident Fund and Trust-Payout of Income Distribution Cum capital withdrawal option		Kotak Gilt Fund		
100281INF174K01FL9	Y				175	100281	INF174K01FL9	Kotak Gilt-Investment  Provident Fund and Trust-Growth		Kotak Gilt Fund		
1.00282E+11	Y				176	100282	100282	HDFC FMP 3M May  2006(1)-Institutional  Plan-Growth		0		
1.00283E+11	Y				177	100283	100283	HDFC FMP 3M May  2006(1)-Institutional  Plan-Dividend		0		
1.00284E+11	Y				178	100284	100284	HDFC FMP 3M May  2006(1)-Retail-Growth		0		
1.00285E+11	Y				179	100285	100285	HDFC FMP 3M May  2006(1)-Retail-Dividend		0		
100286INF174K01450	Y				180	100286	INF174K01450	Kotak Equity Hybrid - Payout of Income Distribution Cum capital withdrawal option		Kotak Aggressive Hybrid Fund		
100286INF174K01443	Y				181	100286	INF174K01443	Kotak Equity Hybrid - Payout of Income Distribution Cum capital withdrawal option - Div Reinvestment		Kotak Aggressive Hybrid Fund		
1.00289E+11	Y				182	100289	100289	Kotak Tech		0		
1.0029E+11	Y				183	100290	100290	Kotak MNC		0		
100291INF174K01EK4	Y				184	100291	INF174K01EK4	Kotak Bond-Deposit-Dividend		Kotak Bond Fund		
100291INF174K01EL2	Y				185	100291	INF174K01EL2	Kotak Bond-Deposit-Dividend - Div Reinvestment		Kotak Bond Fund		
100292INF174K01EJ6	Y				186	100292	INF174K01EJ6	Kotak Bond-Deposit-Growth		Kotak Bond Fund		
100298INF174K01EO6	Y				187	100298	INF174K01EO6	Kotak Bond Regular Plan Quaterly Payout of Income Distribution Cum capital withdrawal option		0		
100298INF174K01EN8	Y				188	100298	INF174K01EN8	Kotak Bond Regular Plan Quaterly Payout of Income Distribution Cum capital withdrawal option - Div Reinvestment		0		
100299INF174K01EM0	Y				189	100299	INF174K01EM0	Kotak Bond Fund - Regular Plan Growth		Kotak Bond Fund		
100300INF174K01EQ1	Y				190	100300	INF174K01EQ1	Kotak Bond Fund - Regular Plan - Standard IDCW Option		Kotak Bond Fund		
100300INF174K01EP3	Y				191	100300	INF174K01EP3	Kotak Bond Fund - Regular Plan - Standard IDCW Option - Div Reinvestment		Kotak Bond Fund		
100301INF174K01ER9	Y				192	100301	INF174K01ER9	Kotak Bond Regular Plan Bonus Plan		0		
100312INF767K01063	Y				193	100312	INF767K01063	LIC MF Flexi Cap Fund-Regular Plan-IDCW		LIC MF Flexi Cap Fund		
100312INF767K01055	Y				194	100312	INF767K01055	LIC MF Flexi Cap Fund-Regular Plan-IDCW - Div Reinvestment		LIC MF Flexi Cap Fund		
